Played,Willing to play again,Title,minMinutes Played,hrsHours Played,Release Date,Multiplayer,Genres
Yes,Maybe,World of War Craft,,,,,
Yes,,Diablo 3,,,,,
Yes,Latest expansion need to play,Star Craft II,,,,,
Yes,,Star Craft,,,,,
Yes,,Overwatch,,,,,
Yes,Latest DLC's,Destiny 2,,,,,
Yes,Would have to figure out how.,Diablo,,,,,
Yes,Would have to figure out how,Diablo 2,,,,,
Yes,Would have to figure out how,War Craft 3,,,,,
Yes,"Would have to obtain, and figure out how",War Craft 2,,,,,
Yes,"Would have to obtain, and figure out how",War Craft,,,,,
