Played	Play?	Title	System
Yes	0	1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)	PC - Steam
Yes	0	AaAaAA!!! - A Reckless Disregard for Gravity	PC - Steam
Yes	0	AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome	PC - Steam
No	1	Advent Rising	PC - GOG
No	2	Alien Breed 2: Assault	PC - Steam
No	2	Alien Breed 3: Descent	PC - Steam
No	2	Alien Breed: Impact	PC - Steam
No	2	Alien Swarm	PC - Steam
No	0	Amnesia: The Dark Descent	PC - Steam
No	0	And Yet It Moves	PC - Steam
No	0	Aquaria	PC - Steam
No	0	Arcadia	PC - Steam
Yes	1	Assassin's Creed	PC - Steam
Yes	1	Assassin's Creed Brotherhood	PC - Steam
Yes	1	Assassin's Creed II	PC - Steam
No	1	Assassin's Creed Origins	PC - Uplay
Yes	1	Assassin's Creed Revelations	PC - Steam
Yes	0	Atom Zombie Smasher	PC - Steam
Yes	1	Audiosurf	PC - Steam
No	2	Avadon: The Black Fortress	PC - Steam
Yes	1	Bastion	PC - Steam
Yes	2	Batman: Arkham Asylum	PC - Steam
Yes	2	Batman: Arkham Asylum GOTY Edition	PC - Steam
Yes	2	Batman: Arkham City GOTY	PC - Steam
Yes	2	Batman: Arkham City	PC - Steam
Yes	2	Batman: Arkham Knight	PC - Steam
Yes	2	Batman: Arkham Origins	PC - Steam
No	0	Battlefield 3	PC - Origin
Yes	1	Bayoneta	X360
No	1	Bayonetta 2	Switch
Yes	1	Beat Hazard	PC - Steam
Yes	1	BioShock	PC - Steam
Yes	1	BioShock 2	PC - Steam
Yes	1	BioShock 2 Remastered	PC - Steam
Yes	1	BioShock Infinite	PC - Steam
Yes	1	BioShock Remastered	PC - Steam
Yes	1	BIT.TRIP BEAT	PC - Steam
Yes	1	BIT.TRIP RUNNER	PC - Steam
No	1	Blacklight: Retribution	PC - Steam
No	0	Blocks That Matter	PC - Steam
Yes	0	Blue Blaze Calamity Trigger	PS3
Yes	1	Borderlands	PC - Steam
Yes	1	Borderlands 2	PC - Steam
No	1	Borderlands: The Pre-Sequel	PC - Steam
No	1	Braid	PC - Steam
No	0	Burn Zombie Burn	PC - Steam
No	0	Call of Cthulhu: Dark Corners of the Earth	PC - Steam
No	2	Call of Duty	PC - Steam
No	2	Call of Duty 2	PC - Steam
No	2	Call of Duty 4: Modern Warfare	PC - Steam
No	2	Call of Duty: United Offensive	PC - Steam
No	2	Call of Duty: World at War	PC - Steam
No	1	Castle Crashers	PC - Steam
No	2	Cave Story+	PC - Steam
No	2	Chime	PC - Steam
Yes	1	Cities: Skylines	PC - Steam
No	1	Cloudbuilt	PC - Steam
Yes	0	Cogs	PC - Steam
Yes	1	Command and Conquer 3: Kane's Wrath	PC - Steam
Yes	1	Command and Conquer 3: Tiberium Wars	PC - Steam
Yes	1	Command and Conquer 4: Tiberian Twilight	PC - Steam
Yes	1	Command and Conquer: Red Alert 3	PC - Steam
Yes	1	Command and Conquer: Red Alert 3 - Uprising	PC - Steam
No	0	Commander Keen Complete Pack	PC - Steam
No	2	Company of Heroes	PC - Steam
